FID,ID,Lat,Lon
1,990212,35.2063,-101.8358
2,970965,33.9353,-117.8828
3,970871,34.3894,-118.0803
4,970618,34.1683,-118.4697
5,970584,34.2689,-118.3997
6,970557,33.7969,-118.1675
7,970402,34.0447,-117.8386
8,970383,34.2053,-117.8606
9,970305,34.2056,-117.7611
10,970233,34.075,-118.0417
11,970174,34.3789,-117.6889
12,970011,34.3763,-84.0599
13,960003,42.0792,-71.4648
14,951274,26.1734,-80.1784
15,950093,38.198,-120.367
16,950013,38.433,-122.25
17,940273,39.35,-123.317
18,940270,39.867,-123.717
19,940074,40.117,-121.05
20,940065,39.916,-120.64
21,940064,39.8997,-120.183
22,940008,31.4706,-96.8833
23,930245,34.345,-119.0767
24,930238,34.3314,-119.0087
25,930225,34.3908,-119.145
26,930224,34.4792,-118.8823
27,930209,34.7326,-119.1032
28,930175,34.2856,-119.155
29,930174,34.6825,-119.3532
30,930173,34.4281,-119.0903
31,930172,34.5133,-118.7576
32,930171,34.3935,-118.884
33,930168,34.2016,-119.207
34,930152,34.5605,-119.1503
35,930134,34.4838,-119.3057
36,923300,32.6833,-117
37,922820,32.7136,-117.17
38,922460,32.9494,-117.0628
39,922160,32.6092,-116.9272
40,922050,33.3833,-116.7833
41,921950,32.8658,-116.4164
42,921200,33.2386,-116.7617
43,921020,33.1167,-117.0833
44,920900,32.8822,-116.8069
45,920270,33.2214,-116.3347
46,910626,30.4331,-84.2608
47,910623,30.4586,-84.3211
48,910618,30.5272,-84.1917
49,910613,30.4844,-84.1956
50,910606,30.4833,-84.2992
51,910605,30.5053,-84.3308
52,900808,28.4361,-81.3714
53,900803,27.9717,-81.4175
54,900801,26.9072,-80.1917
55,900705,25.3306,-80.525
56,900684,26.9792,-81.09
57,900617,26.6244,-80.9483
58,900579,26.7744,-80.6175
59,900312,27.8031,-81.1981
60,900274,28.0017,-81.1936
61,900265,26.6844,-80.3675
62,900254,28.0994,-81.5286
63,900248,33.7069,-117.09
64,900243,27.4386,-81.2064
65,900240,26.7003,-80.7161
66,900233,33.9897,-116.6556
67,900225,27.4725,-81.1439
68,900224,33.8369,-116.6125
69,900222,33.82,-116.3928
70,900221,27.7528,-81.0772
71,900217,33.4967,-117.1492
72,900216,33.8319,-116.5578
73,900212,33.7153,-117.1903
74,900186,25.3669,-80.3764
75,900185,25.47,-80.3464
76,900178,34.0028,-117.3778
77,900157,33.5856,-116.4472
78,900155,33.9878,-117.2689
79,900151,33.8644,-117.1958
80,900143,26.4989,-80.2222
81,900142,27.5914,-81.4353
82,900124,33.9408,-117.1372
83,900102,33.8528,-117.4542
84,900089,33.6756,-116.6797
85,900062,33.6506,-117.4131
86,900055,26.1297,-81.7625
87,900034,33.7814,-116.4575
88,900020,26.5128,-80.9819
89,900011,33.9722,-116.9117
90,900007,25.9898,-80.8362
91,900004,26.0821,-80.6915
92,900003,26.2665,-80.7795
93,900001,26.1915,-80.4492
94,890099,35.3811,-120.1875
95,890051,40.2569,-124.2661
96,890041,33.445,-117.4181
97,870043,35.4333,-100.8
98,870032,35.2642,-100.2414
99,870031,29.5731,-99.4028
100,860090,36.0313,-96.4975
101,850588,31.0817,-98.0164
102,850568,33.2933,-98.0786
103,850424,29.8767,-100.8967
104,850328,33.65,-99.8
105,850308,31.3961,-94.1508
106,849770,38.007,-122.642
107,848954,38.247,-122.903
108,847028,38.067,-122.8
109,847027,37.995,-123.017
110,846833,38.222,-122.633
111,846290,38.133,-122.747
112,846188,38.0449,-122.6896
113,845996,37.9,-122.6
114,845647,37.896,-122.527
115,844652,37.94,-122.595
116,840660,48.6547,-101.6145
